id,token_symbol,timestamp,ua_token_amount,odos_usdc_return,profit_amount,profit_percentage,input_usdc_amount
2490053,uADA,2025-03-17 05:44:36.279826+00,1395583400000000000000,987.61923,-12.38077,-1.238077000,1000.000000
2490062,uADA,2025-03-17 05:44:56.148222+00,1395889000000000000000,987.743072,-12.256928,-1.2256928000,1000.000000
2490070,uADA,2025-03-17 05:45:16.105533+00,1395968900000000000000,987.810352,-12.189648,-1.2189648000,1000.000000
2490079,uADA,2025-03-17 05:45:36.238301+00,1396366800000000000000,988.06792,-11.93208,-1.193208000,1000.000000
2490090,uADA,2025-03-17 05:45:56.191159+00,1396361800000000000000,987.778073,-12.221927,-1.2221927000,1000.000000
2490098,uADA,2025-03-17 05:46:16.179333+00,1398395900000000000000,989.129229,-10.870771,-1.0870771000,1000.000000
2490126,uADA,2025-03-17 05:46:56.320252+00,1398515600000000000000,988.982848,-11.017152,-1.1017152000,1000.000000
2490134,uADA,2025-03-17 05:47:02.303895+00,1400544162208200300000,992.6437,-7.3563,-0.73563000,1000.000000
2490169,uADA,2025-03-17 05:48:36.333105+00,1399311300000000000000,989.054352,-10.945648,-1.0945648000,1000.000000
2490178,uADA,2025-03-17 05:48:56.286236+00,1399054600000000000000,988.816253,-11.183747,-1.1183747000,1000.000000
2490186,uADA,2025-03-17 05:49:15.165268+00,1399335800000000000000,989.003613,-10.996387,-1.0996387000,1000.000000
2490213,uADA,2025-03-17 05:50:16.169157+00,1397902100000000000000,988.238554,-11.761446,-1.1761446000,1000.000000
2490229,uADA,2025-03-17 05:50:56.287935+00,1397876100000000000000,988.624333,-11.375667,-1.1375667000,1000.000000
2490237,uADA,2025-03-17 05:51:15.154151+00,1397772000000000000000,988.656109,-11.343891,-1.1343891000,1000.000000
2490246,uADA,2025-03-17 05:51:36.211476+00,1398465100000000000000,988.657341,-11.342659,-1.1342659000,1000.000000
2490263,uADA,2025-03-17 05:52:16.343318+00,1398858300000000000000,988.626652,-11.373348,-1.1373348000,1000.000000
2490271,uADA,2025-03-17 05:52:32.722437+00,1398308800000000000000,988.091392,-11.908608,-1.1908608000,1000.000000
2490280,uADA,2025-03-17 05:52:56.312816+00,1399054600000000000000,988.727899,-11.272101,-1.1272101000,1000.000000
2490290,uADA,2025-03-17 05:53:16.275122+00,1399228900000000000000,988.900869,-11.099131,-1.1099131000,1000.000000
2490313,uADA,2025-03-17 05:54:16.196476+00,1399447900000000000000,988.906751,-11.093249,-1.1093249000,1000.000000
2490318,uADA,2025-03-17 05:54:36.101017+00,1398700500000000000000,988.389032,-11.610968,-1.1610968000,1000.000000
2490329,uADA,2025-03-17 05:54:55.59609+00,1398956200000000000000,988.739863,-11.260137,-1.1260137000,1000.000000
