id,token_symbol,timestamp,ua_token_amount,odos_usdc_return,profit_amount,profit_percentage,input_usdc_amount
2474000,uLINK,2025-03-16 20:30:32.482714+00,74090000000000000000,1000.651727,0.651727,0.0651727000,1000.000000
2474019,uLINK,2025-03-16 20:31:12.642873+00,74100000000000000000,1001.033821,1.033821,0.1033821000,1000.000000
2474039,uLINK,2025-03-16 20:31:52.811408+00,74140000000000000000,1001.474911,1.474911,0.1474911000,1000.000000
2474051,uLINK,2025-03-16 20:32:10.096092+00,74110000000000000000,1001.060824,1.060824,0.1060824000,1000.000000
2474072,uLINK,2025-03-16 20:32:52.843817+00,74130000000000000000,1000.877006,0.877006,0.0877006000,1000.000000
2474093,uLINK,2025-03-16 20:33:33.743971+00,74060000000000000000,1000.510336,0.510336,0.0510336000,1000.000000
2474104,uLINK,2025-03-16 20:33:52.819875+00,74040000000000000000,1000.509508,0.509508,0.0509508000,1000.000000
2474115,uLINK,2025-03-16 20:34:13.843381+00,74060000000000000000,1001.192637,1.192637,0.1192637000,1000.000000
2474124,uLINK,2025-03-16 20:34:30.146929+00,74090000000000000000,1001.77322,1.77322,0.177322000,1000.000000
2474135,uLINK,2025-03-16 20:34:50.060061+00,74040000000000000000,1000.562682,0.562682,0.0562682000,1000.000000
2474158,uLINK,2025-03-16 20:35:33.117767+00,73990000000000000000,1000.352468,0.352468,0.0352468000,1000.000000
2474167,uLINK,2025-03-16 20:35:53.622416+00,73960000000000000000,1000.04008,0.04008,0.004008000,1000.000000
2474176,uLINK,2025-03-16 20:36:13.702108+00,73970000000000000000,1000.386021,0.386021,0.0386021000,1000.000000
2474194,uLINK,2025-03-16 20:36:52.713131+00,74040000000000000000,1001.163659,1.163659,0.1163659000,1000.000000
2474204,uLINK,2025-03-16 20:37:12.611099+00,73980000000000000000,1000.310399,0.310399,0.0310399000,1000.000000
2474265,uLINK,2025-03-16 20:39:12.592228+00,73930000000000000000,1000.307595,0.307595,0.0307595000,1000.000000
2474348,uLINK,2025-03-16 20:41:53.73837+00,73940000000000000000,1000.098443,0.098443,0.0098443000,1000.000000
2474378,uLINK,2025-03-16 20:42:52.483439+00,73950000000000000000,1000.396821,0.396821,0.0396821000,1000.000000
2474389,uLINK,2025-03-16 20:43:10.380959+00,73980000000000000000,1000.771727,0.771727,0.0771727000,1000.000000
2474409,uLINK,2025-03-16 20:43:52.740311+00,73910000000000000000,1000.156257,0.156257,0.0156257000,1000.000000
2474437,uLINK,2025-03-16 20:44:53.741898+00,73890000000000000000,1000.170373,0.170373,0.0170373000,1000.000000
2474446,uLINK,2025-03-16 20:45:13.731886+00,73890000000000000000,1000.303905,0.303905,0.0303905000,1000.000000
2474456,uLINK,2025-03-16 20:45:33.820822+00,73920000000000000000,1000.735125,0.735125,0.0735125000,1000.000000
2474468,uLINK,2025-03-16 20:45:53.937065+00,73940000000000000000,1001.267415,1.267415,0.1267415000,1000.000000
2474478,uLINK,2025-03-16 20:46:13.88148+00,74010000000000000000,1002.294501,2.294501,0.2294501000,1000.000000
2474487,uLINK,2025-03-16 20:46:32.711218+00,74050000000000000000,1002.1184,2.1184,0.21184000,1000.000000
2474509,uLINK,2025-03-16 20:47:13.70663+00,74170000000000000000,1003.379394,3.379394,0.3379394000,1000.000000
2474519,uLINK,2025-03-16 20:47:33.723399+00,74200000000000000000,1003.245503,3.245503,0.3245503000,1000.000000
2474530,uLINK,2025-03-16 20:47:53.821318+00,74160000000000000000,1002.581822,2.581822,0.2581822000,1000.000000
2474548,uLINK,2025-03-16 20:48:32.734342+00,74150000000000000000,1002.607741,2.607741,0.2607741000,1000.000000
2474570,uLINK,2025-03-16 20:49:11.869376+00,74070000000000000000,1001.330459,1.330459,0.1330459000,1000.000000
2474580,uLINK,2025-03-16 20:49:32.82693+00,74080000000000000000,1001.545601,1.545601,0.1545601000,1000.000000
